Site Name,Latitude (deg),Longitude (deg),Elevation (ft),Site ID
Wallace Cabin,47.202533,-124.202342,15,apu01
Seed Orchard,47.266642,-124.118067,260,apu02
Fish Hatchery,47.359944,-123.993067,170,apu03
Neilton Point,47.389839,-123.867039,2155,apu04
Amanda Park (S6),47.459558,-123.889753,210,apu05
Prairie Creek,47.5117,-123.9332,1780,apu06
Norwood,47.493306,-123.809475,213,apu07
Bishop CRN,47.513542,-123.811894,285,apu08
Bunch Field,47.537411,-123.681375,380,apu09
Wynoochee Trailer,47.496889,-123.580889,3340,apu10
Graves Creek,47.572069,-123.582544,593,apu11
Kalaloch,47.603242,-124.36945,39,apu13
Upper East Fork Quinault,47.679853,-123.384128,2100,apu30
"Albert Head, British Columbia",48.387117,-123.478042,unknown,ahd
